Gene,IN,NN,PN,PP
1007_s_at,0.0018684657,0.005696314,0.00260193,0.0024131464
1053_at,0.0021020053,0.00397314,0.0027199665,-0.003246531
117_at,-0.0011276628,0.00035843987,-0.0036616905,-0.0032418433
121_at,0.002418016,0.0016631817,0.00027115602,-0.0069488417
1255_g_at,0.0016249563,0.006299773,-0.0040275254,-0.0053891693
1294_at,0.0031384402,-0.00033618775,0.003376941,0.0035798252
1316_at,0.0017506767,-0.00035985294,-0.0061100153,-0.009264015
1320_at,0.0020216925,0.0028317713,0.006378517,0.005892604
1405_i_at,0.009100951,-0.0036340517,-0.00571514,0.00067809434
1431_at,0.0027915135,0.0032627399,-0.0065118275,-0.0036614367
1438_at,0.00093171414,0.00401997,0.0023173543,2.147569e-05
1487_at,-0.0040102876,0.00019578592,0.0031563968,-0.0060167746
1494_f_at,0.006865904,0.0030047745,-0.0012345312,-0.00061478483
1552256_a_at,0.0049822796,0.0023635782,0.00023452155,-0.0053863223
1552257_a_at,0.004181932,0.0011340387,0.0019064186,-0.0009737613
1552258_at,0.003901507,0.0035363506,0.006469113,-0.0054614744
1552261_at,0.00028295544,0.00065116916,0.0010498636,0.003981768
1552263_at,0.006773097,-0.003672752,0.0044996473,-0.002972708
1552264_a_at,0.004903966,0.0012119338,-0.009128376,0.0018082982
1552266_at,0.0055983593,0.00403584,-0.0008006116,-0.0026511035
1552269_at,0.0008745205,0.0025565024,-0.0024805346,0.006113597
1552271_at,-0.001681117,-0.0004308011,-0.003347929,-0.0042617004
1552272_a_at,0.0016509508,0.0053883237,0.007061769,0.0006491534
1552274_at,-0.0069422335,-0.0063944366,-0.006640943,-0.0043430435
1552275_s_at,0.0046800477,-0.0013338182,-0.0039789686,0.0011333629
1552276_a_at,0.0030418683,-0.0030306932,0.0071104094,-0.003535148
1552277_a_at,-0.0008462543,-0.0054167146,-0.0042759767,-0.00072198786
1552278_a_at,-0.006242851,-0.004965679,0.0023332497,0.0015723848
1552279_a_at,-0.000858372,0.0066217943,-0.0008487897,0.0036729919
1552280_at,0.0013158881,-0.0046384265,0.004666227,0.0020461695
1552281_at,0.0027664562,0.0018504448,0.0005565362,-0.0045870496
1552283_s_at,-0.0058813365,0.0008637971,0.003984813,0.0034197348
1552286_at,0.0052417065,0.007608369,0.0037145307,-0.0036709849
1552287_s_at,0.0039017957,-0.008580092,-0.0078098183,0.002640812
1552288_at,0.004261724,-0.0046851905,0.007648213,-0.0060995035
1552289_a_at,0.007872237,0.004096558,-0.0052166237,0.005795047
1552291_at,0.00021421241,0.005754316,0.0054206485,0.0014014055
1552293_at,-0.0039372225,0.00056169246,0.00262311,-0.0058051688
1552295_a_at,-0.00065214006,-0.0031195933,-0.006287318,-0.0022588416
1552296_at,5.9475155e-05,0.0055548362,-0.003572938,-0.0025048854
1552299_at,0.0036129183,0.0007685732,0.003576801,-0.0005585527
1552301_a_at,-0.0010851449,0.004655174,0.0042401124,0.000575076
1552302_at,-0.0052002696,0.005416277,0.007331843,-0.00593196
1552303_a_at,-0.0009899887,0.0077286256,-0.0030371323,0.0012988738
1552304_at,-0.0036959795,0.0052901763,-0.0061446615,0.0019049171
1552306_at,0.0043722205,-0.004570409,-0.006099847,0.007517363
1552307_a_at,0.0021808413,-0.0017117044,0.0035007047,0.0064355033
1552309_a_at,-0.008303072,0.008225136,0.007710793,-0.0039205914
1552310_at,-0.0013742278,0.0007303227,-0.0054515908,-0.0080143465
1552311_a_at,-0.0040965597,0.0059482106,-0.0031130696,0.0054097557
1552312_a_at,0.00057582266,0.0048563196,-0.0023020192,0.0044586407
1552314_a_at,-0.00715118,-0.0050135357,-0.0039150026,0.009252201
