Gene,0,1,2,3
1552378_s_at,0.0024435872,0.00055702886,0.003854968,0.0029452813
1552379_at,-0.0072347466,-0.007444852,0.007678139,0.0037555858
1552381_at,-0.0018468045,0.0058544218,0.0003032743,0.0079226345
1552383_at,-0.00095131964,-0.0026884975,0.0020344842,0.00028970893
1552384_a_at,0.0014667943,-0.0031225332,0.0019140661,0.0065691634
1552386_at,-0.0016034951,0.0021346814,-0.0022466434,0.00018187075
1552388_at,0.005987026,-0.0030982797,0.0074270596,0.0024779246
1552389_at,-0.002920149,-0.004693298,0.0039902707,0.000119667704
1552390_a_at,-0.00071877043,-0.0061135814,0.004995504,-0.006304576
1552391_at,-0.0042887107,-0.0037805014,-0.006005105,0.0068059983
1552393_at,-0.004254737,-0.0054985266,0.0068520512,-0.0015639641
1552394_a_at,-0.00027774094,-0.0006572861,0.0020198761,-0.0005460134
1552395_at,-0.0039025892,0.0068802023,-0.0007416623,-0.0010073716
1552396_at,0.0017861434,-0.0066322554,-0.0059628463,-0.005693165
1552398_a_at,-0.0003672167,0.003100338,0.004961587,-0.00503633
1552399_a_at,-0.0033081432,-0.0010693902,0.00056099193,-0.0043178387
1552400_a_at,5.6223616e-05,-0.0016410941,-0.0043127094,0.005010572
1552401_a_at,-0.00233425,0.0010037209,0.006586521,-0.00242688
1552402_at,-0.0055657965,0.0033999542,0.0012801934,0.00523211
1552405_at,0.005928934,-0.003698188,-0.005444316,-0.0005135525
1552408_at,0.006810642,-0.00043207256,-0.00529911,-0.006244509
1552409_a_at,-0.0024741217,0.004560213,-0.0014825183,-0.006723762
1552410_at,-0.005781879,-0.0048456616,-0.0029129407,0.0068906415
1552411_at,-0.0009179746,0.003822295,-0.00058561616,0.0019992185
1552412_a_at,0.0009216374,0.005894072,0.0038842773,0.0014652169
1552414_at,0.0026008752,-0.006437342,-0.0066755917,0.0066875047
1552415_a_at,0.00011841948,-0.00067108945,-0.00324396,-0.004616341
1552417_a_at,-0.0019802593,-0.0014620188,-0.0053985454,0.0062290225
1552418_at,-0.002796498,0.0030144355,-0.005900797,-0.0059788334
1552419_s_at,0.0066301953,-0.002537742,-0.00016347427,0.0062234323
1552421_a_at,-0.0060118637,0.00066803175,0.005451358,-0.004659235
1552422_at,0.0052966014,-0.0039664335,0.00026335104,0.005060119
1552423_at,0.0027952264,0.007848069,0.0050244774,-0.0022185596
1552424_at,-0.0058911275,0.0043935967,-0.0054284357,-0.0027447515
1552425_a_at,-0.0041751508,0.004552617,0.005996905,-0.0023282121
1552426_a_at,-0.002171685,-0.000423963,0.0040071565,-0.0033289858
1552427_at,0.0035896122,-0.0027302725,0.004238908,0.007493579
1552430_at,0.0055813487,0.0037476243,-0.0015731594,-0.00017217043
1552432_at,-0.0036344836,0.007381194,-0.0044766725,-0.003109826
1552436_a_at,-1.7174661e-05,-0.005521306,0.0033414734,-0.0029077255
1552438_a_at,-0.0006595026,-0.0031723613,-0.00089974684,0.0062642866
1552439_s_at,-0.0048016226,0.004074632,0.0018283491,0.0009909163
1552440_at,0.00034564055,0.00088154495,0.0028215603,0.0061151027
1552445_a_at,0.0067196563,-0.0030210698,0.007475346,-0.00016646781
1552448_a_at,-0.00598957,-0.008031986,-0.0011551933,-0.003943134
1552449_a_at,0.0069745905,-0.006096783,-0.00084637897,0.00518426
1552450_a_at,-0.0029007748,-0.0004707856,0.0030796812,0.0038829313
1552452_at,-0.005245874,-0.00054707995,0.005634448,-0.005379771
1552453_a_at,-0.0017881717,0.00082934264,0.0025825563,0.0032438159
1552455_at,0.007405201,0.005799473,0.0007472383,0.0030481708
1552456_a_at,-0.0012552345,0.0068409,0.007420548,0.001699709
1552457_a_at,0.0015014374,-0.00054366095,-0.0018883834,0.0067436113
1552458_at,0.0074025183,-0.0019447989,0.0077296696,0.0065432005
1552459_a_at,0.007768695,0.0028933617,-0.0019976313,-0.0041240077
1552461_at,0.0047475854,0.007140182,-0.0041291215,0.0010171228
1552463_at,-0.0064826515,-0.0031480943,-0.006096016,0.0023712998
1552466_x_at,-0.00024279297,-0.0006884378,-0.0046052285,0.0029278588
1552467_at,0.0047048097,0.0070803678,-0.0054818946,0.005403839
1552468_a_at,-0.00072235026,-0.00046501693,-0.006375415,0.001046388
1552470_a_at,0.0016715061,-0.004031886,-0.0034176994,-8.986003e-05
1552472_a_at,0.0024325254,0.0015335679,0.004059786,0.0065421276
1552473_at,-0.0009232333,-0.00030538524,-0.006692717,0.0009082777
